customer_id,age,continent,price,order_id
01d3259f5b6a4cb4922ec2e0afb5e646,79,North America,407.58,4dec70945168406b9746c5132fdd7f1d
36ef50f007c34aad9c6a63710c9a4563,42,Africa,,c317b09e68904e149dee8e0a7e9303e3
89b6495d66784f85ad0b7fd5eae96914,25,Europe,144.99,bd0fb7ad7f77474f977ecf0a20843d06
2612b5785b1d4108a788497caf1ea719,29,Africa,371.19,64bc1215da9c48969d4307f66fb5997b
c71c66d9b1e24ba6b14df4db75755e5f,55,North America,,a03c3521321842428ee809ff973cf9e7
830f7188f1b1440c8a0a2b54ad7818b6,61,North America,286.87,64dc723c742e40e1bc717fd935c5ba84
22162db064ab4e09ac5e711f95ead4a3,53,Asia,467.28,e4a2bc15351d41c087fa825e7c5ebcec
279c17fe1d164ae7a75ba96f2111e6e9,80,Australia,115.61,162166d3127347a3a1eb8feaba83176e
f14ac1a17be44ecb8bdff3a21968fc14,50,North America,,978580cc242146f3b37582aa66141e69
bc4ccb262e45466db88a5cf1a741e275,35,Asia,369.29,6c28ac87c7da4d45b83b3d0affe71fee
973f2f6e14e5457f82c238d92e39bbc1,80,Africa,59.96,bc20452efa074c249f69190b858ba0d1
1eabdc139a1a4669bf8fe13d145d3f7e,83,North America,,f87bf147c73f4a34bd910b508e39a0a9
e9b626b5edc24569a08d2e88f357721d,70,Australia,319.11,e8180c0d09e94d14953a44a785f49499
6579d258c3a04349918cbdf224fc8c18,83,Europe,326.12,ecea731c96714b13a8ecbdf0d13ca9a1
8a93408a0b18480ebd56af114f836032,47,Africa,,991a462cbe89449a889a96fd5e547df4
ed7c7a3c24d946ad9f0145ba7c594920,29,Australia,476.29,a6dd730482a54ee288762fc9c174f5a8
76bfa8c3a88d402ead5fdbd09d453e56,80,North America,366.12,57b570abcde241f1ba26bd8e8ac4935e
ac130c9829f64c8abd86c3c66851de80,54,Africa,334.74,47e61e81d33e4293b4b5bc2d085ef2b9
7618702157864d50bf26117be66b3692,59,Asia,,6485e12acfb145d0bc48d237c4ecfed8
5990b147441f4896ab25f8e4f3304d9e,25,Africa,286.0,df4e638465764d039687041d440762aa
097ef0e83dd54731916d77134056f1b2,59,Europe,400.59,09baf814b4ad4c17a2913b829924518a
46b57f14c6d040fcb8738f1d6b082932,31,North America,315.38,845ce8db812b4d31a10f0d8339d9a451
56d926cff8a247158e596dcd74436028,20,Europe,265.86,0786f813b5974ffbb011c368621d899f
b39f1aad782d4b8b93fc6b435ac04e02,41,South America,420.83,47069eeff5e04b0ebfb9ddc549d54fd0
20cbcc23d7c3457682d426ffe685e484,64,North America,,fe56facf3299429298c2a84a9c30599d
555fe5cbe25e46c8ad16201256baf57b,83,Africa,494.78,f60dae7bec874ae891c0c1a53e5ca245
69f5722480564f22bd46c598487296f4,67,Africa,327.5,ede429ecd06547f0aec8074288676676
cf2a1b5060d24f6f99b8c1f3846a05de,26,Europe,124.2,8f3113ed974c4dcea2067826bfcf48da
39f93b08c7544af9b4e7c2db79739965,40,South America,349.05,ee828a3a828a4b21a4fe993d644fd275
510095f27e154406ad2ff0d9f01f89bc,50,Africa,,b545c591f34a4fb79c2319622fc489f6
fed4252502734fd984830cdf967dcb87,75,Australia,145.44,7ba9098fc35d4815a835279e615a0e97
ff1a00e40da643fe82e79453af5125ce,55,North America,344.79,d408e8da46734415aee0f84548d06702
5904505131b94110bcb8b8840413350c,54,South America,454.86,37b52236caa441ef81a0f93ab51db0b3
a25f98147acb4ee8bfda1ea9eaedc588,69,Africa,435.76,3ae1bea7e64b4404a757d090f59a19d8
615abcb1d4044a91940f022199fa4f48,69,Asia,98.03,efa1c5c1b712446a8b4497019c762031
32fc196361d8413c8d3a52b41f56599e,30,Africa,150.35,51b09fc115f948a9ac56ea7b8c164584
401cd5e73eb0448295a4262d7de10432,55,South America,,4852eb883b784735a585c67160cc90c7
9deeb26f18df47f3afccddeb3dbf9909,33,North America,,e6a16a664cc6466d9a904d6701b8b8a2
14a5a55458ea4aed96814841c7a16747,19,Asia,158.97,29c6a7f7ef264abdb850abbe697a5356
d5e6458464d84e81b65a9272b2b038a6,68,Africa,322.09,cc846b2034954e6496c843f811aa94da
65c6de341f0642eba069b809aa24f1b8,82,Australia,397.65,0308602283a748b3aa8c47c58a5f77a3
56608335183741899b96713c43cceb01,68,North America,,2998fb56cc294d1fb00d7fccd0a0cfe0
3b3b0ecff1f64686b2b2bab8dea189fb,55,Australia,83.51,a86b722fea1f4bacbc2843eab959c22e
e2eb2d4eafae4d37bba56c47bc694e49,38,Asia,102.45,8c4349be73d449288637a307958fb98c
a293492b668a46f9ab4d8f37128b40a6,72,Australia,303.07,764dadb773964c8788c536e307865eae
1e52b0993f17431f86abf7ecf198bb88,39,Asia,327.06,985596f9d6e546a6a8b5cb2ca9d513d0
81bb422951db4096aaf98df957829c97,35,Europe,53.49,6faf3b7101094a6d901244a731b6de12
30605fe13c474ff688daaaf35296da3a,83,Africa,52.2,d7ddc8dc17df47b79430b2277bd3bf58
02957595f7e34351b08bd7d09b3a61ff,19,Australia,294.27,143c4dd89ec24e9395cac9e8f3ec21f2
ecf9e927da6d40f5b1bf50d822f1d92d,36,Africa,237.99,6959c51ddae9467dabaf50bf41ccf621
a0627537e5214f6c9e29d6a655501f54,42,Africa,56.12,7bae8f4c9e5e40dcb73035c3032a0f2b
8418e4bd3ca14c1b9a290a217317dde3,50,Australia,428.07,a7bc7302e13341e3ba051d774563ca72
33291d28661848009048abb19b5149e4,35,Europe,382.33,4b1290140d864a69bd548913b16e8665
5a938d22a5d84453a16e9a1111713b5d,81,North America,,5330fab9751142f7afea9e1567d95a1c
561ba9acec5c4d7dabac5266398d9faf,39,Australia,295.71,d648e8ce090140979c1becc42e4d9f94
99e686a68c344b9fa5ecbfe6fcee0aed,64,North America,,08dbbddbad2d41bd9b4fe83d120686de
0f3ddcb7448743ac9a87156da68bca03,31,South America,310.15,8f28e523ea944cddbde510a0c16e564e
c3fe8ccde23c4239b71df057ba92787c,54,South America,247.8,118b6bdacd53444ab9c8c8df79d674ca
747ed7b2ddad40058cb430539dc34f5e,64,North America,240.61,b42252a5190f4c12b9d440eec8568799
48c72795a12d4c299a9295549f36b6b2,65,Africa,431.54,33ad005ba9d8471ba40f8010495b92a1
88b87d14b7c74ff3bd08b2cf998adcb9,80,Asia,422.03,d3a485d27f204fd5a2418f0a1e6cab30
