customer_id,day,item
960b2366e6be4f9da662ba578bc82b30,24,pants13
960b2366e6be4f9da662ba578bc82b30,36,skirt5
960b2366e6be4f9da662ba578bc82b30,29,skirt14
960b2366e6be4f9da662ba578bc82b30,48,bag30
960b2366e6be4f9da662ba578bc82b30,13,pants18
960b2366e6be4f9da662ba578bc82b30,42,shirt18
960b2366e6be4f9da662ba578bc82b30,48,skirt2
960b2366e6be4f9da662ba578bc82b30,19,bag13
960b2366e6be4f9da662ba578bc82b30,34,bag23
960b2366e6be4f9da662ba578bc82b30,32,shirt4
960b2366e6be4f9da662ba578bc82b30,43,jacket16
3238d579b84b4700ab792207614e6096,47,bag27
3238d579b84b4700ab792207614e6096,50,shirt3
3238d579b84b4700ab792207614e6096,25,jacket5
3238d579b84b4700ab792207614e6096,28,skirt10
3238d579b84b4700ab792207614e6096,37,skirt3
3238d579b84b4700ab792207614e6096,48,shirt10
2b32bd19399a49e0bde35e4f7e08cc19,35,jacket1
2b32bd19399a49e0bde35e4f7e08cc19,42,shirt18
2b32bd19399a49e0bde35e4f7e08cc19,19,shirt24
2b32bd19399a49e0bde35e4f7e08cc19,26,bag3
2b32bd19399a49e0bde35e4f7e08cc19,15,skirt12
2b32bd19399a49e0bde35e4f7e08cc19,19,bag35
2b32bd19399a49e0bde35e4f7e08cc19,31,bag13
2b32bd19399a49e0bde35e4f7e08cc19,13,bag10
2b32bd19399a49e0bde35e4f7e08cc19,35,jacket24
2b32bd19399a49e0bde35e4f7e08cc19,11,jacket11
3599e5843d494b0fb00fab308059b8d4,33,bag8
3599e5843d494b0fb00fab308059b8d4,20,skirt19
3599e5843d494b0fb00fab308059b8d4,43,shirt9
3599e5843d494b0fb00fab308059b8d4,38,bag37
3599e5843d494b0fb00fab308059b8d4,37,bag0
3599e5843d494b0fb00fab308059b8d4,49,bag37
3599e5843d494b0fb00fab308059b8d4,16,skirt23
3599e5843d494b0fb00fab308059b8d4,28,pants8
3707f9f5a14b47b5be865afdeb3544b0,48,shirt16
3707f9f5a14b47b5be865afdeb3544b0,38,bag19
3707f9f5a14b47b5be865afdeb3544b0,42,shirt29
3707f9f5a14b47b5be865afdeb3544b0,47,jacket19
3707f9f5a14b47b5be865afdeb3544b0,46,bag8
3707f9f5a14b47b5be865afdeb3544b0,47,bag18
3707f9f5a14b47b5be865afdeb3544b0,42,jacket11
3707f9f5a14b47b5be865afdeb3544b0,41,jacket9
3707f9f5a14b47b5be865afdeb3544b0,47,bag0
9bd890e4e09d4c4dab9d4766dedbf853,40,jacket16
9bd890e4e09d4c4dab9d4766dedbf853,8,bag31
9bd890e4e09d4c4dab9d4766dedbf853,7,jacket27
9bd890e4e09d4c4dab9d4766dedbf853,5,skirt8
9bd890e4e09d4c4dab9d4766dedbf853,28,skirt8
9bd890e4e09d4c4dab9d4766dedbf853,35,jacket9
9bd890e4e09d4c4dab9d4766dedbf853,10,shirt27
9bd890e4e09d4c4dab9d4766dedbf853,41,pants18
9bd890e4e09d4c4dab9d4766dedbf853,40,bag2
93cd6bf57b054d2392e5461ba68f5ef9,25,skirt1
93cd6bf57b054d2392e5461ba68f5ef9,43,shirt25
93cd6bf57b054d2392e5461ba68f5ef9,49,shirt29
93cd6bf57b054d2392e5461ba68f5ef9,39,shirt7
93cd6bf57b054d2392e5461ba68f5ef9,23,pants15
